,ratio,method,gene,color
79,0.6666666865348816,anno_MERFISH,cd24a,#9EE493
80,1.0,anno_MERFISH,egr2,#9EE493
81,1.25,anno_MERFISH,slc17a8,#9EE493
82,,anno_MERFISH,nxph4,#9EE493
83,1.0557692050933838,anno_MERFISH,tac2,#9EE493
84,0.7777777314186096,anno_MERFISH,egfr,#9EE493
85,1.0,anno_MERFISH,adra1b,#9EE493
86,1.0,anno_MERFISH,adamts2,#9EE493
87,,anno_MERFISH,serpinf1,#9EE493
88,1.9466667175292969,anno_MERFISH,vtn,#9EE493
89,0.9166666865348816,anno_MERFISH,igfbp4,#9EE493
90,0.4464285671710968,anno_MERFISH,gfap,#9EE493
91,,anno_MERFISH,egln3,#9EE493
92,0.4345991611480713,anno_MERFISH,rgs6,#9EE493
93,0.5588235259056091,anno_MERFISH,bcl11b,#9EE493
94,1.1111111640930176,anno_MERFISH,vipr2,#9EE493
95,1.0,anno_MERFISH,itgb8,#9EE493
96,0.39423078298568726,anno_MERFISH,cxcl14,#9EE493
97,1.125,anno_MERFISH,fezf2,#9EE493
98,1.0,anno_MERFISH,chat,#9EE493
99,0.6666666865348816,anno_MERFISH,sncg,#9EE493
100,0.7037037014961243,anno_MERFISH,plcxd3,#9EE493
101,0.5833333134651184,anno_MERFISH,cdh9,#9EE493
102,0.6666666865348816,anno_MERFISH,sema5a,#9EE493
103,0.6338147521018982,anno_MERFISH,pvalb,#9EE493
104,0.7444444298744202,anno_MERFISH,sox10,#9EE493
105,,anno_MERFISH,wnt7b,#9EE493
106,1.9232455492019653,anno_MERFISH,igfbp6,#9EE493
107,0.645714282989502,anno_MERFISH,cldn5,#9EE493
108,0.3963688015937805,anno_MERFISH,sst,#9EE493
109,0.4000000059604645,anno_MERFISH,chodl,#9EE493
110,0.5808695554733276,anno_MERFISH,grik1,#9EE493
111,1.3589743375778198,anno_MERFISH,daam2,#9EE493
112,0.5,anno_MERFISH,alk,#9EE493
113,1.0,anno_MERFISH,aqp4,#9EE493
114,1.1111111640930176,anno_MERFISH,cd14,#9EE493
115,0.5,anno_MERFISH,prr16,#9EE493
116,0.8166666626930237,anno_MERFISH,cbln2,#9EE493
117,0.2857142984867096,anno_MERFISH,rorb,#9EE493
118,0.33484160900115967,anno_MERFISH,acta2,#9EE493
